Field,Trt,Date,Mean,Temp (°C),Rainfall (mm),Soil Moisture (%)
F1,T1,2021-03-27,0.75,24.5,34.6,37.4
F1,T1,2021-03-28,0.7,27.3,127.0,21.8
F1,T1,2021-03-29,0.69,27.5,100.6,54.3
F1,T1,2021-03-30,0.83,18.3,14.1,45.7
F1,T1,2021-03-31,0.51,26.7,188.0,43.0
F1,T1,2021-04-01,0.69,27.9,91.7,41.8
F1,T1,2021-04-02,0.97,22.7,192.2,56.2
F1,T1,2021-04-03,0.6,16.4,20.2,20.7
F1,T1,2021-04-04,0.55,28.7,14.2,32.8
F1,T1,2021-04-05,0.92,15.5,162.9,31.3
F1,T1,2021-04-06,0.56,28.9,125.8,55.1
F1,T1,2021-04-07,0.87,31.1,56.4,27.1
F1,T1,2021-04-08,0.88,31.1,198.1,36.5
F1,T1,2021-04-09,0.69,30.5,68.2,57.2
F1,T1,2021-04-10,0.93,23.6,150.2,50.2
F1,T1,2021-04-11,0.55,33.1,101.1,53.1
F1,T1,2021-04-12,0.66,32.9,77.8,20.4
F1,T1,2021-04-13,0.95,16.8,63.9,58.0
F1,T1,2021-04-14,0.98,26.5,126.4,37.9
F1,T1,2021-04-15,0.65,21.6,134.5,50.1
F1,T1,2021-04-16,0.9,30.8,18.2,39.8
F1,T1,2021-04-17,0.53,26.0,88.3,55.5
F1,T1,2021-04-18,0.68,17.3,28.6,50.5
F1,T1,2021-04-19,0.81,17.0,16.8,48.0
F1,T1,2021-04-20,0.54,31.4,141.2,23.3
F1,T1,2021-04-21,0.54,34.7,74.9,34.8
F1,T1,2021-04-22,0.91,33.9,197.2,50.1
F1,T1,2021-04-23,0.69,16.7,155.4,42.3
F1,T1,2021-04-24,0.71,33.1,22.2,39.7
F1,T1,2021-04-25,0.51,24.4,11.3,24.8
F1,T1,2021-04-26,0.56,28.0,149.2,43.3
F1,T1,2021-04-27,0.98,22.5,57.1,54.7
F1,T1,2021-04-28,0.61,34.3,2.4,58.8
F1,T1,2021-04-29,0.52,32.8,105.5,59.7
F1,T1,2021-04-30,0.54,26.1,193.9,40.9
F1,T1,2021-05-01,0.81,28.9,90.9,45.1
F1,T1,2021-05-02,0.79,33.0,9.1,31.2
F1,T1,2021-05-03,0.98,32.8,91.1,44.8
F1,T1,2021-05-04,0.64,18.8,92.7,34.1
F1,T1,2021-05-05,0.79,16.6,194.9,59.4
F1,T1,2021-05-06,0.85,25.7,61.9,52.6
F1,T1,2021-05-07,0.84,18.3,182.2,52.9
F1,T1,2021-05-08,0.97,29.5,122.7,36.7
F1,T1,2021-05-09,0.97,32.3,9.0,21.1
F1,T1,2021-05-10,0.69,31.2,197.5,26.0
F1,T1,2021-05-11,0.8,22.6,194.0,53.7
F1,T1,2021-05-12,0.92,24.4,83.0,30.9
F1,T1,2021-05-13,0.53,32.3,162.6,60.0
F1,T1,2021-05-14,1.0,26.1,153.8,57.8
F1,T1,2021-05-15,0.92,19.9,90.1,25.2
F1,T1,2021-05-16,0.98,27.1,45.7,46.9
F1,T1,2021-05-17,0.81,22.2,22.7,46.9
F1,T1,2021-05-18,0.76,30.4,104.0,54.1
F1,T1,2021-05-19,0.78,26.2,175.3,36.1
F1,T1,2021-05-20,0.57,15.6,151.0,44.8
F1,T1,2021-05-21,0.85,19.3,27.3,20.6
F1,T1,2021-05-22,0.68,26.8,78.4,37.5
F1,T1,2021-05-23,0.95,22.0,102.8,51.3
F1,T1,2021-05-24,0.7,27.4,172.5,58.0
F1,T1,2021-05-25,0.57,33.5,98.4,30.3
F1,T1,2021-05-26,0.73,34.6,98.5,33.2
F1,T1,2021-05-27,0.82,19.8,15.2,25.2
F1,T1,2021-05-28,0.56,18.0,27.8,45.6
F1,T1,2021-05-29,0.59,21.9,179.4,39.0
F1,T1,2021-05-30,0.83,18.4,38.5,21.6
F1,T1,2021-05-31,0.58,20.6,35.4,23.5
F1,T1,2021-06-01,0.56,24.2,41.3,34.6
F1,T1,2021-06-02,0.75,28.8,7.9,52.0
F1,T1,2021-06-03,0.81,16.6,174.7,56.8
F1,T1,2021-06-04,0.53,20.5,161.2,49.9
F1,T1,2021-06-05,0.59,19.2,74.1,39.4
F1,T1,2021-06-06,0.81,22.4,92.5,49.9
F1,T1,2021-06-07,0.52,20.0,142.7,55.8
F1,T1,2021-06-08,0.76,25.6,21.4,37.9
F1,T1,2021-06-09,0.77,19.8,53.8,35.1
F1,T1,2021-06-10,0.51,21.4,42.3,33.1
F1,T1,2021-06-11,0.56,32.8,118.7,47.2
F1,T1,2021-06-12,0.89,25.0,17.4,41.5
F1,T1,2021-06-13,0.79,29.9,86.3,25.1
F1,T1,2021-06-14,0.64,22.3,129.2,42.8
F1,T1,2021-06-15,0.68,34.7,121.2,29.5
F1,T1,2021-06-16,0.55,18.1,49.2,26.4
F1,T1,2021-06-17,0.59,20.7,34.7,55.9
F1,T1,2021-06-18,0.54,25.5,82.1,59.3
F1,T1,2021-06-19,0.56,23.0,193.9,54.6
F1,T1,2021-06-20,0.91,20.2,34.2,46.7
F1,T1,2021-06-21,0.96,26.1,114.3,31.2
F1,T1,2021-06-22,0.88,18.7,64.7,37.0
F1,T1,2021-06-23,0.75,19.8,23.0,44.4
F1,T1,2021-06-24,0.64,26.6,30.9,39.2
F1,T1,2021-06-25,0.77,16.0,67.3,25.4
F1,T1,2021-06-26,0.53,34.8,64.5,52.4
F1,T1,2021-06-27,0.63,28.6,152.0,43.8
F1,T1,2021-06-28,0.74,23.2,69.8,57.2
F1,T1,2021-06-29,0.92,34.3,24.9,49.2
F1,T1,2021-06-30,0.97,18.6,13.3,49.6
F1,T1,2021-07-01,0.79,31.8,28.0,51.8
F1,T1,2021-07-02,0.6,18.3,32.9,52.6
F1,T1,2021-07-03,0.83,25.5,71.8,55.1
F1,T1,2021-07-04,0.7,31.3,87.8,35.1
F1,T1,2021-07-05,0.73,21.0,149.5,40.1
F1,T1,2021-07-06,0.62,33.0,76.8,41.7
F1,T1,2021-07-07,0.95,27.5,23.4,57.6
F1,T1,2021-07-08,0.81,21.7,27.9,51.8
F1,T1,2021-07-09,0.81,25.7,178.8,51.5
F1,T1,2021-07-10,0.58,21.2,49.7,49.8
F1,T1,2021-07-11,0.52,26.4,152.5,55.1
F1,T1,2021-07-12,0.67,31.4,22.1,53.9
F1,T1,2021-07-13,0.56,22.9,159.5,26.0
F1,T1,2021-07-14,0.61,29.4,144.0,45.6
F1,T1,2021-07-15,0.85,25.9,50.4,33.8
F1,T1,2021-07-16,0.59,33.2,116.7,36.0
F1,T1,2021-07-17,0.73,33.9,30.7,43.4
F1,T1,2021-07-18,0.75,27.2,3.6,54.9
F1,T1,2021-07-19,0.97,26.3,139.3,56.9
F1,T1,2021-07-20,0.85,18.1,115.3,44.3
F1,T1,2021-07-21,0.71,29.7,186.9,57.0
F1,T1,2021-07-22,0.73,17.3,197.0,53.6
F1,T1,2021-07-23,0.56,33.4,174.0,40.8
F1,T1,2021-07-24,0.8,23.0,11.0,33.4
F1,T1,2021-07-25,0.9,15.1,66.7,35.9
F1,T1,2021-07-26,0.77,33.4,69.3,33.9
F1,T1,2021-07-27,0.87,24.0,44.9,38.1
F1,T1,2021-07-28,0.57,18.5,99.7,36.8
F1,T1,2021-07-29,0.96,22.2,116.1,45.3
F1,T1,2021-07-30,0.51,28.3,35.6,58.4
F1,T1,2021-07-31,0.57,23.3,17.1,59.9
F1,T1,2021-08-01,0.75,26.9,13.4,50.0
F1,T1,2021-08-02,0.6,33.0,41.0,27.6
F1,T1,2021-08-03,0.52,24.4,113.0,22.6
F1,T1,2021-08-04,0.89,24.1,104.9,37.6
F1,T1,2021-08-05,0.7,26.2,31.0,27.3
F1,T1,2021-08-06,0.93,33.9,74.7,30.8
F1,T1,2021-08-07,0.82,23.2,5.1,26.2
F1,T1,2021-08-08,0.86,28.2,5.4,28.9
F1,T1,2021-08-09,0.62,28.4,3.9,24.2
F1,T1,2021-08-10,0.9,18.6,130.5,29.5
F1,T1,2021-08-11,0.55,19.9,144.5,54.2
F1,T1,2021-08-12,0.92,22.9,133.6,28.2
F1,T1,2021-08-13,0.65,32.9,2.6,23.4
F1,T1,2021-08-14,0.6,15.5,36.3,43.3
F1,T1,2021-08-15,0.71,32.9,163.5,33.7
F1,T1,2021-08-16,0.63,22.6,118.1,30.7
F1,T1,2021-08-17,0.81,23.2,110.4,37.4
F1,T1,2021-08-18,0.65,34.0,152.7,25.6
F1,T1,2021-08-19,0.93,24.7,178.9,52.0
F1,T1,2021-08-20,0.71,15.4,53.7,41.7
F1,T1,2021-08-21,0.82,20.2,27.9,53.4
F1,T1,2021-08-22,0.99,25.5,34.3,30.9
F1,T1,2021-08-23,0.51,33.3,23.6,43.1
F1,T1,2021-08-24,0.64,26.1,130.3,53.2
F1,T1,2021-08-25,0.6,15.2,27.4,56.0
F1,T1,2021-08-26,0.94,26.9,120.1,46.6
F1,T1,2021-08-27,0.59,33.3,83.8,35.3
F1,T1,2021-08-28,0.76,15.9,33.3,49.5
F1,T1,2021-08-29,0.54,27.1,49.1,35.6
F1,T1,2021-08-30,0.64,22.1,143.8,31.9
F1,T1,2021-08-31,0.78,24.5,132.7,57.5
F1,T1,2021-09-01,0.87,19.3,6.2,30.5
F1,T1,2021-09-02,0.8,16.0,99.3,43.9
F1,T1,2021-09-03,0.67,30.4,21.3,23.0
F1,T1,2021-09-04,0.86,24.9,137.7,37.4
F1,T1,2021-09-05,0.62,31.4,159.9,47.8
F1,T1,2021-09-06,0.64,26.8,72.2,23.7
F1,T1,2021-09-07,0.96,17.7,190.0,37.8
F1,T1,2021-09-08,0.59,25.8,174.6,49.3
F1,T1,2021-09-09,0.9,28.2,138.5,54.0
F1,T1,2021-09-10,0.62,24.8,44.2,59.5
F1,T1,2021-09-11,0.97,15.8,141.1,57.0
F1,T1,2021-09-12,0.59,26.4,183.1,21.4
F1,T1,2021-09-13,0.85,20.9,184.9,58.8
F1,T1,2021-09-14,0.97,24.5,172.4,53.8
F1,T1,2021-09-15,0.66,31.6,7.4,43.9
F1,T1,2021-09-16,0.62,17.4,15.4,47.9
F1,T1,2021-09-17,0.67,29.5,13.1,32.6
F1,T1,2021-09-18,0.77,30.8,63.8,45.0
F1,T1,2021-09-19,0.94,27.3,46.6,21.0
F1,T1,2021-09-20,0.94,15.4,174.9,41.2
F1,T1,2021-09-21,0.97,31.0,199.6,34.0
F1,T1,2021-09-22,0.88,23.0,96.0,45.1
F1,T1,2021-09-23,0.94,34.7,153.7,36.7
F1,T1,2021-09-24,0.71,29.8,47.8,24.4
F1,T1,2021-09-25,0.68,20.7,59.3,29.3
F1,T1,2021-09-26,0.52,15.4,197.5,37.1
F1,T1,2021-09-27,0.69,28.6,43.7,58.0
F1,T1,2021-09-28,0.89,16.8,83.5,55.2
F1,T1,2021-09-29,0.97,24.3,122.7,26.7
F1,T1,2021-09-30,1.0,19.6,188.5,46.0
F1,T1,2021-10-01,0.8,25.3,46.1,27.1
F1,T1,2021-10-02,0.61,18.7,155.9,34.0
F1,T1,2021-10-03,0.53,34.4,176.8,57.1
F1,T1,2021-10-04,1.0,18.5,79.2,50.3
F1,T1,2021-10-05,0.85,18.1,163.2,29.0
F1,T1,2021-10-06,0.61,25.7,118.6,43.2
F1,T1,2021-10-07,0.55,32.5,53.1,25.2
F1,T1,2021-10-08,0.94,34.1,172.4,52.4
F1,T1,2021-10-09,0.83,26.0,17.4,36.3
F1,T1,2021-10-10,0.69,20.2,144.7,39.8
F1,T1,2021-10-11,0.54,19.4,136.7,23.0
F1,T1,2021-10-12,0.93,24.9,96.1,43.7
F1,T1,2021-10-13,0.91,22.0,135.6,42.6
F1,T1,2021-10-14,0.63,32.6,159.5,46.3
F1,T1,2021-10-15,0.93,32.3,141.7,53.5
F1,T1,2021-10-16,0.85,28.6,123.7,50.1
F1,T1,2021-10-17,0.58,32.6,174.4,21.2
F1,T1,2021-10-18,0.91,17.6,67.0,49.7
F1,T1,2021-10-19,0.58,31.4,166.4,40.3
F1,T1,2021-10-20,0.5,20.7,123.4,59.2
F1,T1,2021-10-21,0.82,20.2,126.8,41.6
F1,T1,2021-10-22,0.89,17.1,152.2,41.7
F1,T1,2021-10-23,0.98,21.8,126.5,57.3
F1,T1,2021-10-24,0.55,33.7,137.6,22.7
F1,T1,2021-10-25,0.65,29.2,13.5,43.3
F1,T1,2021-10-26,0.67,27.4,9.1,54.9
F1,T1,2021-10-27,0.99,34.4,149.9,25.2
F1,T1,2021-10-28,0.88,15.5,4.4,32.9
F1,T1,2021-10-29,0.74,30.4,136.7,37.8
F1,T1,2021-10-30,0.64,34.9,85.2,38.1
F1,T1,2021-10-31,0.58,30.9,138.7,28.8
F1,T1,2021-11-01,0.54,28.6,130.9,30.9
F1,T1,2021-11-02,0.98,18.0,86.5,57.7
F1,T1,2021-11-03,0.71,27.8,79.5,31.0
F1,T1,2021-11-04,0.99,23.2,178.8,29.2
F1,T1,2021-11-05,0.61,15.6,130.3,34.7
F1,T1,2021-11-06,0.93,24.5,193.6,27.4
F1,T1,2021-11-07,0.93,30.5,154.2,53.8
F1,T1,2021-11-08,0.88,27.5,26.2,21.3
F1,T1,2021-11-09,0.96,27.3,159.3,39.3
F1,T1,2021-11-10,0.56,17.5,137.1,37.2
F1,T1,2021-11-11,0.6,24.8,12.8,43.3
F1,T1,2021-11-12,0.63,31.0,62.1,38.2
F1,T1,2021-11-13,0.51,16.4,78.5,39.2
F1,T1,2021-11-14,0.8,20.8,139.0,54.4
F1,T1,2021-11-15,0.89,15.8,96.1,24.2
F1,T1,2021-11-16,0.62,34.7,28.5,40.0
F1,T1,2021-11-17,0.81,29.0,111.9,20.4
F1,T1,2021-11-18,0.66,25.4,17.6,34.0
F1,T1,2021-11-19,0.52,16.6,79.4,25.3
F1,T1,2021-11-20,0.78,28.8,160.1,28.0
F1,T1,2021-11-21,0.58,17.1,127.3,48.3
F1,T1,2021-11-22,0.52,33.7,10.4,41.7
F1,T1,2021-11-23,0.85,32.4,142.8,52.1
F1,T1,2021-11-24,0.67,31.3,16.0,55.8
F1,T1,2021-11-25,0.77,31.3,90.5,45.7
F1,T1,2021-11-26,0.76,29.6,16.3,22.4
F1,T1,2021-11-27,0.62,18.2,174.4,28.8
F1,T1,2021-11-28,0.99,21.7,36.4,51.6
F1,T1,2021-11-29,0.83,25.0,111.1,48.8
F1,T1,2021-11-30,0.61,34.9,195.0,46.0
F1,T1,2021-12-01,0.6,28.6,14.4,21.2
F1,T1,2021-12-02,0.63,24.3,173.7,49.1
F1,T1,2021-12-03,0.87,23.5,69.2,34.8
F1,T1,2021-12-04,0.99,15.8,173.4,43.1
F1,T1,2021-12-05,0.72,29.5,97.3,54.9
F1,T1,2021-12-06,0.95,23.4,55.4,43.7
F1,T1,2021-12-07,0.96,19.2,124.6,45.3
F1,T1,2021-12-08,0.87,17.6,143.2,56.4
F1,T1,2021-12-09,0.59,19.8,194.3,27.2
F1,T1,2021-12-10,0.93,24.8,49.4,54.8
F1,T1,2021-12-11,0.72,25.3,71.8,43.7
F1,T1,2021-12-12,0.58,22.8,193.9,30.3
F1,T1,2021-12-13,0.83,21.5,154.7,25.2
F1,T1,2021-12-14,0.98,24.1,47.2,22.9
F1,T1,2021-12-15,0.58,25.4,67.4,53.2
F1,T1,2021-12-16,0.72,20.0,123.4,48.3
F1,T1,2021-12-17,0.58,18.4,7.3,49.5
F1,T1,2021-12-18,0.83,24.5,168.8,52.2
F1,T1,2021-12-19,0.79,32.4,41.2,24.5
F1,T1,2021-12-20,0.63,16.1,106.2,57.5
F1,T1,2021-12-21,0.52,17.4,90.4,57.4
F1,T1,2021-12-22,0.66,25.1,8.3,25.9
F1,T1,2021-12-23,0.99,34.3,1.0,58.1
F1,T1,2021-12-24,0.82,32.4,90.9,40.6
F1,T1,2021-12-25,0.74,28.3,27.9,21.2
F1,T1,2021-12-26,0.65,29.1,40.4,46.9
F1,T1,2021-12-27,0.98,16.9,134.5,37.8
F1,T1,2021-12-28,0.93,18.5,138.5,53.5
F1,T1,2021-12-29,0.97,28.7,99.4,44.7
F1,T1,2021-12-30,0.93,26.4,6.1,57.2
F1,T1,2021-12-31,0.84,28.5,43.1,46.4
F1,T1,2022-01-01,0.7,28.0,21.3,46.3
F1,T1,2022-01-02,1.0,16.0,195.4,36.3
F1,T1,2022-01-03,0.94,30.6,113.4,49.5
F1,T1,2022-01-04,0.94,23.1,65.4,46.7
F1,T1,2022-01-05,0.9,30.2,159.6,37.4
F1,T1,2022-01-06,0.91,17.4,108.9,20.2
F1,T1,2022-01-07,0.66,22.3,79.2,47.8
F1,T1,2022-01-08,0.69,24.0,47.5,34.9
F1,T1,2022-01-09,0.61,16.5,120.7,46.7
F1,T1,2022-01-10,0.81,24.3,76.0,54.5
F1,T1,2022-01-11,0.76,24.6,5.1,33.6
F1,T1,2022-01-12,0.69,23.0,116.0,41.3
F1,T1,2022-01-13,0.8,30.3,162.6,48.7
F1,T1,2022-01-14,0.98,15.4,39.2,20.3
F1,T1,2022-01-15,0.82,33.0,48.7,57.1
F1,T1,2022-01-16,0.53,33.7,70.3,24.1
F1,T1,2022-01-17,0.74,20.1,57.0,32.3
F1,T1,2022-01-18,0.9,25.8,62.3,44.4
F1,T1,2022-01-19,0.86,20.5,82.7,24.9
F1,T1,2022-01-20,0.59,28.6,36.3,41.0
F1,T1,2022-01-21,0.85,17.1,113.5,30.3
F1,T1,2022-01-22,0.98,24.7,161.2,42.0
F1,T1,2022-01-23,0.52,27.7,190.3,44.1
F1,T1,2022-01-24,0.91,32.7,45.6,28.5
F1,T1,2022-01-25,0.81,23.2,168.0,56.0
F1,T1,2022-01-26,0.68,19.7,156.1,31.0
F1,T1,2022-01-27,0.91,23.5,133.5,23.8
F1,T1,2022-01-28,0.81,24.0,117.3,26.7
F1,T1,2022-01-29,0.87,32.3,43.3,23.8
F1,T1,2022-01-30,0.51,27.8,121.4,41.9
F1,T1,2022-01-31,0.62,22.8,118.9,39.9
F1,T1,2022-02-01,0.99,17.7,139.0,36.2
F1,T1,2022-02-02,0.71,29.4,138.5,59.7
F1,T1,2022-02-03,0.56,17.1,144.9,43.1
F1,T1,2022-02-04,0.64,16.6,17.1,55.8
F1,T1,2022-02-05,0.6,21.5,45.3,34.2
F1,T1,2022-02-06,0.53,25.4,13.5,52.0
F1,T1,2022-02-07,0.62,25.8,176.0,46.0
F1,T1,2022-02-08,0.77,21.5,66.6,46.8
F1,T1,2022-02-09,1.0,28.2,111.6,49.2
F1,T1,2022-02-10,0.73,16.2,112.5,58.3
F1,T1,2022-02-11,0.59,28.8,40.2,41.4
F1,T1,2022-02-12,0.55,24.0,151.2,33.9
F1,T1,2022-02-13,0.83,30.9,185.4,29.4
F1,T1,2022-02-14,0.7,18.0,198.5,57.1
F1,T1,2022-02-15,0.77,31.8,104.2,44.9
F1,T1,2022-02-16,0.54,30.1,25.5,53.0
F1,T1,2022-02-17,0.89,29.2,7.2,32.1
F1,T1,2022-02-18,0.63,22.2,17.5,57.5
F1,T1,2022-02-19,0.78,21.1,79.4,37.9
F1,T1,2022-02-20,0.8,25.3,183.9,39.9
F1,T1,2022-02-21,1.0,32.0,41.7,57.2
F1,T1,2022-02-22,0.56,31.3,76.1,55.1
F1,T1,2022-02-23,0.93,31.1,158.0,32.2
F1,T1,2022-02-24,0.54,23.1,34.7,47.8
F1,T1,2022-02-25,0.67,34.5,128.2,52.9
F1,T1,2022-02-26,0.57,32.2,184.6,39.5
F1,T1,2022-02-27,0.8,30.3,35.0,40.1
F1,T1,2022-02-28,0.7,17.9,73.5,22.7
F1,T1,2022-03-01,0.51,17.7,192.6,42.0
F1,T1,2022-03-02,0.98,23.6,62.4,40.2
F1,T1,2022-03-03,0.72,17.1,128.2,28.6
F1,T1,2022-03-04,0.81,28.0,30.4,22.5
F1,T1,2022-03-05,0.89,24.2,11.6,59.8
F1,T1,2022-03-06,0.53,28.9,196.7,29.6
F1,T1,2022-03-07,0.57,17.4,60.7,24.0
F1,T1,2022-03-08,0.85,16.2,101.9,59.9
F1,T1,2022-03-09,0.91,27.3,61.3,45.0
F1,T1,2022-03-10,0.76,23.5,26.1,55.5
F1,T1,2022-03-11,0.72,18.9,73.6,36.6
F1,T1,2022-03-12,0.91,29.7,153.9,20.4
F1,T1,2022-03-13,0.71,24.6,3.8,30.4
F1,T1,2022-03-14,0.88,17.7,107.1,28.6
F1,T1,2022-03-15,0.51,19.8,195.2,52.1
F1,T1,2022-03-16,0.98,24.8,21.9,41.9
F1,T1,2022-03-17,0.73,31.9,19.6,39.5
F1,T1,2022-03-18,0.58,21.5,147.5,39.0
F1,T1,2022-03-19,0.69,22.9,91.9,51.4
F1,T1,2022-03-20,0.95,34.1,157.4,32.6
F1,T1,2022-03-21,0.84,23.8,50.9,53.6
F1,T1,2022-03-22,0.52,33.0,92.3,45.5
F1,T1,2022-03-23,0.83,32.9,127.3,44.6
F1,T1,2022-03-24,0.53,25.4,30.0,49.5
F1,T1,2022-03-25,0.76,28.6,8.3,23.4
F1,T1,2022-03-26,0.86,16.4,14.3,20.5
F1,T1,2022-03-27,0.98,29.8,70.7,31.9
F1,T1,2022-03-28,0.67,30.5,132.3,27.4
F1,T1,2022-03-29,0.59,17.0,132.1,50.6
F1,T1,2022-03-30,0.63,15.4,16.4,58.7
F1,T1,2022-03-31,0.65,30.4,124.9,35.3
F1,T1,2022-04-01,0.6,17.4,123.0,51.0
F1,T1,2022-04-02,0.82,25.6,8.4,58.7
F1,T1,2022-04-03,0.9,20.9,196.0,44.1
F1,T1,2022-04-04,0.79,30.0,162.4,46.3
F1,T1,2022-04-05,0.56,21.8,185.6,29.0
F1,T1,2022-04-06,0.69,23.6,87.9,44.5
F1,T1,2022-04-07,0.97,19.8,24.3,27.9
F1,T1,2022-04-08,0.94,27.9,57.2,52.6
F1,T1,2022-04-09,0.93,31.9,183.8,30.1
F1,T1,2022-04-10,0.88,24.2,168.4,49.1
F1,T1,2022-04-11,0.89,28.1,35.5,41.8
F1,T1,2022-04-12,0.99,33.7,8.6,26.6
F1,T1,2022-04-13,0.57,29.5,163.6,28.5
F1,T1,2022-04-14,0.75,31.8,146.6,41.7
F1,T1,2022-04-15,0.8,25.2,59.5,42.6
F1,T1,2022-04-16,0.84,32.5,127.3,50.4
F1,T1,2022-04-17,0.58,24.2,1.9,29.9
F1,T1,2022-04-18,0.86,34.8,19.8,36.1
F1,T1,2022-04-19,0.9,19.1,111.0,49.3
F1,T1,2022-04-20,0.81,18.8,71.1,51.4
F1,T1,2022-04-21,0.78,15.1,152.2,21.4
F1,T1,2022-04-22,0.87,19.0,191.6,34.7
F1,T1,2022-04-23,0.66,18.0,61.1,55.1
F1,T1,2022-04-24,1.0,22.4,89.7,48.9
